ID,NAME,Tennis Court Area,Park Name,ADDRESS,DISTRICT,WARD,Primary Permitting Status,Asset category,LIGHTS,Surface material,GIS Coordinate
3615,HANLAN'S POINT PARK - Outdoor Tennis Court (  2),HANLAN'S POINT PARK - Tennis Court Area,TORONTO ISLANDS - HANLAN'S POINT PARK,9 QUEENS QUAY  W,Waterfront,28,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.39143161,43.61994672)"
3616,HANLAN'S POINT PARK - Outdoor Tennis Court (  3),HANLAN'S POINT PARK - Tennis Court Area,TORONTO ISLANDS - HANLAN'S POINT PARK,9 QUEENS QUAY  W,Waterfront,28,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.39125428,43.61994929)"
3614,HANLAN'S POINT PARK - Outdoor Tennis Court (  4),HANLAN'S POINT PARK - Tennis Court Area,TORONTO ISLANDS - HANLAN'S POINT PARK,9 QUEENS QUAY  W,Waterfront,28,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.39162156,43.62027446)"
3617,HANLAN'S POINT PARK - Outdoor Tennis Court (  5),HANLAN'S POINT PARK - Tennis Court Area,TORONTO ISLANDS - HANLAN'S POINT PARK,9 QUEENS QUAY  W,Waterfront,28,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.39144423,43.62027704)"
3612,HANLAN'S POINT PARK - Outdoor Tennis Court (  6),HANLAN'S POINT PARK - Tennis Court Area,TORONTO ISLANDS - HANLAN'S POINT PARK,9 QUEENS QUAY  W,Waterfront,28,Public,Outdoor Tennis Court,Yes,Asphalt,"(-79.39126124,43.6202796)"
3162,HAVENBROOK PARK - Outdoor Tennis Court (  1),HAVENBROOK PARK - Tennis Court Area,HAVENBROOK PARK,15 HAVENBROOK BLVD,North York,33,Club,Outdoor Tennis Court,Yes,Coated,"(-79.35833134,43.76750943)"
3163,HAVENBROOK PARK - Outdoor Tennis Court (  2),HAVENBROOK PARK - Tennis Court Area,HAVENBROOK PARK,15 HAVENBROOK BLVD,North York,33,Club,Outdoor Tennis Court,Yes,Coated,"(-79.35850808,43.76746534)"
3164,HAVENBROOK PARK - Outdoor Tennis Court (  3),HAVENBROOK PARK - Tennis Court Area,HAVENBROOK PARK,15 HAVENBROOK BLVD,North York,33,Club,Outdoor Tennis Court,Yes,Coated,"(-79.3581529,43.76755352)"
3165,HAVENBROOK PARK - Outdoor Tennis Court (  4),HAVENBROOK PARK - Tennis Court Area,HAVENBROOK PARK,15 HAVENBROOK BLVD,North York,33,Club,Outdoor Tennis Court,Yes,Coated,"(-79.35797107,43.76759884)"
29448,HAVENBROOK PARK TENNIS CLUBHOUSE,,HAVENBROOK PARK,15 HAVENBROOK BLVD,North York,33,Club,Clubhouse,,,"(-79.35773597,43.76765972)"
3155,HAWKSBURY PARK - Outdoor Tennis Court (  1),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.3827995,43.77045308)"
3156,HAWKSBURY PARK - Outdoor Tennis Court (  2),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38297846,43.77041819)"
3157,HAWKSBURY PARK - Outdoor Tennis Court (  3),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.3832873,43.77070369)"
3158,HAWKSBURY PARK - Outdoor Tennis Court (  4),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38292305,43.77077651)"
3159,HAWKSBURY PARK - Outdoor Tennis Court (  5),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38316163,43.77038331)"
3160,HAWKSBURY PARK - Outdoor Tennis Court (  6),HAWKSBURY PARK - Tennis Court Area,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Outdoor Tennis Court,Yes,Coated,"(-79.38310412,43.7707401)"
29449,HAWKSBURY PARK TENNIS CLUBHOUSE,,HAWKSBURY PARK,1A HAWKSBURY DR,North York,24,Club,Clubhouse,,,"(-79.38330525,43.7701849)"
3150,HENDON PARK - Outdoor Tennis Court (  1),HENDON PARK - Tennis Court Area,HENDON PARK,50 HENDON AVE,North York,23,Public,Outdoor Tennis Court,Yes,Coated,"(-79.42168089,43.78115217)"
3151,HENDON PARK - Outdoor Tennis Court (  2),HENDON PARK - Tennis Court Area,HENDON PARK,50 HENDON AVE,North York,23,Public,Outdoor Tennis Court,Yes,Coated,"(-79.42204373,43.78107388)"
3152,HENDON PARK - Outdoor Tennis Court (  3),HENDON PARK - Tennis Court Area,HENDON PARK,50 HENDON AVE,North York,23,Public,Outdoor Tennis Court,Yes,Coated,"(-79.42186159,43.7811125)"
3153,HENDON PARK - Outdoor Tennis Court (  4),HENDON PARK - Tennis Court Area,HENDON PARK,50 HENDON AVE,North York,23,Public,Outdoor Tennis Court,Yes,Coated,"(-79.42222587,43.78103527)"
29453,HENDON PARK TENNIS CLUBHOUSE,,HENDON PARK,50 HENDON AVE,North York,23,Club,Clubhouse,,,"(-79.4213229,43.7812605599999)"
3144,HERON PARK - Outdoor Tennis Court (  1),HERON PARK - Tennis Court Area,HERON PARK,292  MANSE RD,Scarborough,44,Club,Outdoor Tennis Court,Yes,Coated,"(-79.17830386,43.76865502)"
