Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/locations/parks/?name=BIRCHMOUNT%20PARK,5,0,53,502.87108899999566,24.579905999985385,1460.7753079999952,971.0,0.08306618979329469,0.0,53,950,950,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/locations/parks/?name=BLOORDALE%20PARK%20SOUTH,2,0,6.4133429999913005,530.4906024999951,6.4133429999913005,1054.567861999999,1004.0,0.03322647591731787,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=BOND%20PARK,5,0,4,313.2074821999993,3.949920999986034,1543.0215590000103,3150.0,0.08306618979329469,0.0,4,11,11,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/locations/parks/?name=BOTANY%20HILL%20PARK,3,0,46,178.13787566666406,38.96777299999599,449.1032170000153,1944.0,0.04983971387597681,0.0,46,46,450,450,450,450,450,450,450,450,450
GET,/api/locations/parks/?name=BRIDLEWOOD%20PARK,8,0,7,247.69827387500243,4.3022389999975985,1094.6829589999822,1454.0,0.1329059036692715,0.0,90,250,520,520,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=BROADLANDS%20PARK,3,0,8,79.05575333334507,3.776882000011028,225.1614360000076,1937.0,0.04983971387597681,0.0,8,8,230,230,230,230,230,230,230,230,230
GET,/api/locations/parks/?name=BUTTONWOOD%20PARK,7,0,13,86.40694785713825,3.412736999990784,473.40785899999105,1453.0,0.11629266571061256,0.0,13,49,56,56,470,470,470,470,470,470,470
GET,/api/locations/parks/?name=CARTWRIGHT%20SCHOOL%20PARK,6,0,150.0,406.38615516666715,4.420442999986562,874.6259570000063,1014.0,0.09967942775195363,0.0,590,590,670,670,870,870,870,870,870,870,870
GET,/api/locations/parks/?name=CASSANDRA%20PARK,1,0,36.11186300000213,36.11186300000213,36.11186300000213,36.11186300000213,2334.0,0.016613237958658936,0.0,36,36,36,36,36,36,36,36,36,36,36
GET,/api/locations/parks/?name=CEDARVALE%20PARK,2,0,35,311.0504710000015,34.98287499999719,587.1180670000058,1954.0,0.03322647591731787,0.0,590,590,590,590,590,590,590,590,590,590,590
GET,/api/locations/parks/?name=CHALKFARM%20PARK,6,0,48,141.73907483332945,3.8650369999970735,386.4635349999901,962.0,0.09967942775195363,0.0,160,160,250,250,390,390,390,390,390,390,390
GET,/api/locations/parks/?name=CHAMPLAIN%20PARKETTE,5,0,190.0,262.85280659998875,3.614148999986355,771.0985989999983,988.0,0.08306618979329469,0.0,190,340,340,770,770,770,770,770,770,770,770
GET,/api/locations/parks/?name=CHARLOTTETOWN%20PARK,2,0,4.431688000011036,506.5682375000051,4.431688000011036,1008.7047869999992,1490.0,0.03322647591731787,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/locations/parks/?name=CLAIRLEA%20PARK,4,0,16,56.9954260000074,4.872581000000764,180.96771200001172,956.0,0.06645295183463575,0.0,26,26,180,180,180,180,180,180,180,180,180
GET,/api/locations/parks/?name=CLANTON%20PARK,6,0,4,114.75077999999428,3.767936000002692,408.03189400000406,1822.0,0.09967942775195363,0.0,14,14,250,250,410,410,410,410,410,410,410
GET,/api/locations/parks/?name=CLIFFWOOD%20PARK,3,0,82,154.00841033332804,50.34655700001167,329.23265299999116,1442.0,0.04983971387597681,0.0,82,82,330,330,330,330,330,330,330,330,330
GET,/api/locations/parks/?name=CLOVERDALE%20PARK,4,0,16,20.635200499995676,3.910943999983374,31.273261999984925,1460.0,0.06645295183463575,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/api/locations/parks/?name=CLYDESDALE%20PARK,4,0,7,37.16380324999591,3.9745690000074774,92.53368399998863,2345.0,0.06645295183463575,0.0,45,45,93,93,93,93,93,93,93,93,93
GET,/api/locations/parks/?name=COLEMAN%20PARK,2,0,4.220070000002352,224.414926999998,4.220070000002352,444.6097839999936,960.0,0.03322647591731787,0.0,440,440,440,440,440,440,440,440,440,440,440
GET,/api/locations/parks/?name=CONFEDERATION%20PARK,5,0,410.0,516.5211982000017,5.0402370000028895,1081.1263539999914,1490.0,0.08306618979329469,0.0,410,750,750,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=COSBURN%20PARK,6,0,7,260.6109273333317,4.656595999989577,799.6250779999912,2818.0,0.09967942775195363,0.0,88,88,660,660,800,800,800,800,800,800,800
GET,/api/locations/parks/?name=CRESTHAVEN%20PARK,3,0,120.0,150.54890133332796,13.197394000002305,321.7379539999854,1923.0,0.04983971387597681,0.0,120,120,320,320,320,320,320,320,320,320,320
